SKU,SKU Name,Source,Source Name,Vol available for redeployment,Destination,Destination Name,Vol required to reach National Average,Total Trip Cost(USD),MACO wo VLC,Weighed MACOwoVLC,OOS(HL),OOS capped(HL),OOS %,OOS MACO
ZL000042,BUCHANANS WHISKY 1UN /750ML,DA38,CND CD Margen Oriental,0.32494529338288014,DA40,CND CD Santiago,0.03000000000000001,0.9758348008871847,53.89024390243902,0.0,0.0,0.0,0.0000%,0.0
ZL000042,BUCHANANS WHISKY 1UN /750ML,DA44,CND CD San Juan,0.0099453808031683,DA40,CND CD Santiago,0.03000000000000001,1.233785527668648,53.89024390243902,0.0,0.0,0.0,0.0000%,0.0
ZL000042,BUCHANANS WHISKY 1UN /750ML,DA45,CND CD Mao,0.0099453808031683,DA40,CND CD Santiago,0.03000000000000001,1.0,53.89024390243902,0.0,0.0,0.0,0.0000%,0.0
ZPF00025,VINAGRE BLANCO CONSTANZA 24 UN/17.5OZ,DA36,CND CD San Fco. de Macoris,2.5920562608483624,DA39,CND CD Azua,0.2502970838633477,1.133414924166462,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZPF00025,VINAGRE BLANCO CONSTANZA 24 UN/17.5OZ,DA36,CND CD San Fco. de Macoris,2.5920562608483624,DA42,CND CD Bavaro,0.2502970838633477,1.162766299832193,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZPF00025,VINAGRE BLANCO CONSTANZA 24 UN/17.5OZ,DA36,CND CD San Fco. de Macoris,2.5920562608483624,DA34,CND CD Bohemia,0.2502970838633477,0.8081149823420368,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZPF00025,VINAGRE BLANCO CONSTANZA 24 UN/17.5OZ,DA36,CND CD San Fco. de Macoris,2.5920562608483624,DA33,CND CD Central,0.2502970838633477,0.8574469683224957,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZPF00025,VINAGRE BLANCO CONSTANZA 24 UN/17.5OZ,DA36,CND CD San Fco. de Macoris,2.5920562608483624,DA45,CND CD Mao,0.2502970838633477,1.122125669682195,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZPF00025,VINAGRE BLANCO CONSTANZA 24 UN/17.5OZ,DA36,CND CD San Fco. de Macoris,2.5920562608483624,DA38,CND CD Margen Oriental,0.2502970838633477,0.8754641973849986,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZPF00025,VINAGRE BLANCO CONSTANZA 24 UN/17.5OZ,DA36,CND CD San Fco. de Macoris,2.5920562608483624,DA35,CND CD Puerto Plata,0.2502970838633477,1.155992641604193,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZPF00025,VINAGRE BLANCO CONSTANZA 24 UN/17.5OZ,DA36,CND CD San Fco. de Macoris,2.5920562608483624,DA46,CND CD Samana,0.2502970838633477,1.155992641604193,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZPF00025,VINAGRE BLANCO CONSTANZA 24 UN/17.5OZ,DA36,CND CD San Fco. de Macoris,2.5920562608483624,DA44,CND CD San Juan,0.2502970838633477,1.133414924166462,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZPF00025,VINAGRE BLANCO CONSTANZA 24 UN/17.5OZ,DA36,CND CD San Fco. de Macoris,2.5920562608483624,DA37,CND CD San Pedro de Macoris,0.2502970838633477,1.162766299832193,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZPF00025,VINAGRE BLANCO CONSTANZA 24 UN/17.5OZ,DA36,CND CD San Fco. de Macoris,2.5920562608483624,DA40,CND CD Santiago,0.052705935520724556,1.251848176537314,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA36,CND CD San Fco. de Macoris,9.403290771482677,DA39,CND CD Azua,0.9667756742371976,1.133414924166462,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA40,CND CD Santiago,7.321789113036374,DA39,CND CD Azua,0.9667756742371976,1.233785527668648,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA36,CND CD San Fco. de Macoris,9.403290771482677,DA42,CND CD Bavaro,0.9667756742371976,1.162766299832193,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA40,CND CD Santiago,7.321789113036374,DA42,CND CD Bavaro,0.9667756742371976,1.263136903334379,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA36,CND CD San Fco. de Macoris,9.403290771482677,DA34,CND CD Bohemia,0.9667756742371976,0.8081149823420368,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA40,CND CD Santiago,7.321789113036374,DA34,CND CD Bohemia,0.9667756742371976,0.9084855858442228,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA36,CND CD San Fco. de Macoris,9.403290771482677,DA33,CND CD Central,0.9667756742371976,0.8574469683224957,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA40,CND CD Santiago,7.321789113036374,DA33,CND CD Central,0.9667756742371976,0.9578175718246816,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA36,CND CD San Fco. de Macoris,9.403290771482677,DA45,CND CD Mao,0.9667756742371976,1.122125669682195,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA40,CND CD Santiago,7.321789113036374,DA45,CND CD Mao,0.9667756742371976,1.0,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA36,CND CD San Fco. de Macoris,9.403290771482677,DA38,CND CD Margen Oriental,0.9667756742371976,0.8754641973849986,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA40,CND CD Santiago,7.321789113036374,DA38,CND CD Margen Oriental,0.9667756742371976,0.9758348008871847,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA36,CND CD San Fco. de Macoris,9.403290771482677,DA35,CND CD Puerto Plata,0.9667756742371976,1.155992641604193,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA40,CND CD Santiago,7.321789113036374,DA35,CND CD Puerto Plata,0.9667756742371976,1.0,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA36,CND CD San Fco. de Macoris,9.403290771482677,DA46,CND CD Samana,0.9667756742371976,1.155992641604193,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA40,CND CD Santiago,7.321789113036374,DA46,CND CD Samana,0.9667756742371976,1.0,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA36,CND CD San Fco. de Macoris,9.403290771482677,DA44,CND CD San Juan,0.9667756742371976,1.133414924166462,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA40,CND CD Santiago,7.321789113036374,DA44,CND CD San Juan,0.9667756742371976,1.233785527668648,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA36,CND CD San Fco. de Macoris,9.403290771482677,DA37,CND CD San Pedro de Macoris,0.9667756742371976,1.162766299832193,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000091,VINO TINTO CAMPEON  24 /350ML,DA40,CND CD Santiago,7.321789113036374,DA37,CND CD San Pedro de Macoris,0.9667756742371976,1.263136903334379,26.41688443670151,0.0,0.0,0.0,0.0000%,0.0
ZL000090,VINO TINTO CAMPEON  12 /700ML,DA36,CND CD San Fco. de Macoris,6.082793483166844,DA39,CND CD Azua,0.20478309659903934,1.133414924166462,25.95862369337979,0.0,0.0,0.0,0.0000%,0.0
ZL000090,VINO TINTO CAMPEON  12 /700ML,DA40,CND CD Santiago,8.119969789714805,DA39,CND CD Azua,0.20478309659903934,1.233785527668648,25.95862369337979,0.0,0.0,0.0,0.0000%,0.0
ZL000090,VINO TINTO CAMPEON  12 /700ML,DA36,CND CD San Fco. de Macoris,6.082793483166844,DA42,CND CD Bavaro,0.20478309659903934,1.162766299832193,25.95862369337979,0.0,0.0,0.0,0.0000%,0.0
ZL000090,VINO TINTO CAMPEON  12 /700ML,DA40,CND CD Santiago,8.119969789714805,DA42,CND CD Bavaro,0.20478309659903934,1.263136903334379,25.95862369337979,0.0,0.0,0.0,0.0000%,0.0
ZL000090,VINO TINTO CAMPEON  12 /700ML,DA36,CND CD San Fco. de Macoris,6.082793483166844,DA34,CND CD Bohemia,0.20478309659903934,0.8081149823420368,25.95862369337979,0.0,0.0,0.0,0.0000%,0.0
ZL000090,VINO TINTO CAMPEON  12 /700ML,DA40,CND CD Santiago,8.119969789714805,DA34,CND CD Bohemia,0.20478309659903934,0.9084855858442228,25.95862369337979,0.0,0.0,0.0,0.0000%,0.0
ZL000090,VINO TINTO CAMPEON  12 /700ML,DA36,CND CD San Fco. de Macoris,6.082793483166844,DA33,CND CD Central,0.20478309659903934,0.8574469683224957,25.95862369337979,0.0,0.0,0.0,0.0000%,0.0
ZL000090,VINO TINTO CAMPEON  12 /700ML,DA40,CND CD Santiago,8.119969789714805,DA33,CND CD Central,0.20478309659903934,0.9578175718246816,25.95862369337979,0.0,0.0,0.0,0.0000%,0.0
ZL000090,VINO TINTO CAMPEON  12 /700ML,DA36,CND CD San Fco. de Macoris,6.082793483166844,DA45,CND CD Mao,0.20478309659903934,1.122125669682195,25.95862369337979,0.0,0.0,0.0,0.0000%,0.0
ZL000090,VINO TINTO CAMPEON  12 /700ML,DA40,CND CD Santiago,8.119969789714805,DA45,CND CD Mao,0.20478309659903934,1.0,25.95862369337979,0.0,0.0,0.0,0.0000%,0.0
ZL000090,VINO TINTO CAMPEON  12 /700ML,DA36,CND CD San Fco. de Macoris,6.082793483166844,DA38,CND CD Margen Oriental,0.20478309659903934,0.8754641973849986,25.95862369337979,0.0,0.0,0.0,0.0000%,0.0
ZL000090,VINO TINTO CAMPEON  12 /700ML,DA40,CND CD Santiago,8.119969789714805,DA38,CND CD Margen Oriental,0.20478309659903934,0.9758348008871847,25.95862369337979,0.0,0.0,0.0,0.0000%,0.0
