Site_Code,Site Name,SKU,SKU Name,Stock on floor,Planned In Day1,Planned In Day2,Planned In Day3,Planned In Day4,Planned In Day5,Planned In Day6,Planned In Day7,In Transit Day1,In Transit Day2,In Transit Day3,In Transit Day4,In Transit Day5,In Transit Day6,In Transit Day7,Production Day1,Production Day2,Production Day3,Production Day4,Production Day5,Production Day6,Production Day7,Total 7Days Production,Total Planned Load 7Days,Customer_Orders,Daily Demand Day1,Daily Demand Day2,Daily Demand Day3,Daily Demand Day4,Daily Demand Day5,Daily Demand Day6,Daily Demand Day7,Total 7Days Demand,Stock on floor 7Days,Reorder Point (Hl),%Predicted_Var_vs ROP 7days,National Average,Volume available for Redeployment/Volume required to reach Nat Avg,Vol available for Redeployment wrt ROP,Volume required to reach Nat Avg
DA33,CND CD Central,ZCI00011,L&M MENTOL LABEL HL10,0.6174000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01132075822087282,0.01132075822087282,0.01132075822087282,0.01132075822087282,0.01132075822087282,0.01132075822087282,0.01132075822087282,0.07924530754610974,0.5381546924538904,0.009877479093106658,5348.30%,6172.50%,-0.5282772133607837,0.5282772133607837,0.0
DA33,CND CD Central,ZCI00012,L&M FORWARD HL10,0.3249473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1477033492822967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1477033492822967,0.0,0.02929316282805935,0.02929316282805935,0.02929316282805935,0.02929316282805935,0.02929316282805935,0.02929316282805935,0.02929316282805935,0.20505213979641546,0.267598577906934,0.0290858583848303,820.03%,1624.59%,-0.23851271952210368,0.23851271952210368,0.0
DA33,CND CD Central,ZCI00015,MARLBORO CRAFTED(RED) 10/20 UN,1.766532057416268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02919741144321559,0.02919741144321559,0.02919741144321559,0.02919741144321559,0.02919741144321559,0.02919741144321559,0.02919741144321559,0.2043818801025091,1.562150177313759,0.02937134621089089,5218.62%,3941.98%,-1.532778831102868,1.532778831102868,0.0
DA33,CND CD Central,ZCI00016,MARLBORO CRAFTED(MENTHOL) MNT KS SOF 10,6.120826794258374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05610687261891642,0.05610687261891642,0.05610687261891642,0.05610687261891642,0.05610687261891642,0.05610687261891642,0.05610687261891642,0.392748108332415,5.728078685925959,0.07425435470013841,7614.13%,7164.96%,-5.65382433122582,5.65382433122582,0.0
DA33,CND CD Central,ZCI00017,MARLBORO CRAFTED(RED) KS SOF 10,13.68323827751196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08510753299436934,0.08510753299436934,0.08510753299436934,0.08510753299436934,0.08510753299436934,0.08510753299436934,0.08510753299436934,0.5957527309605853,13.087485546551374,0.1148413346519607,11296.15%,6468.93%,-12.972644211899413,12.972644211899413,0.0
DA33,CND CD Central,ZCI00020,LIDER KS SOF 10,0.4992373205741628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01395792822504775,0.01395792822504775,0.01395792822504775,0.01395792822504775,0.01395792822504775,0.01395792822504775,0.01395792822504775,0.09770549757533425,0.40153182299882856,0.01544044518801729,2500.52%,3113.83%,-0.38609137781081126,0.38609137781081126,0.0
DA33,CND CD Central,ZCI00021,LIDER MNT KS SOF 10,0.487421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01425214123214013,0.01425214123214013,0.01425214123214013,0.01425214123214013,0.01425214123214013,0.01425214123214013,0.01425214123214013,0.09976498862498093,0.387656064006598,0.007866956787140176,4827.65%,915.50%,-0.37978910721945786,0.37978910721945786,0.0
DA33,CND CD Central,ZCI00022,HEETS AMBERSEL S50 PRI 20 SLI,0.4224315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001570375160017971,0.001570375160017971,0.001570375160017971,0.001570375160017971,0.001570375160017971,0.001570375160017971,0.001570375160017971,0.010992626120125798,0.4114389528272427,0.0009601220259891664,42752.78%,627.43%,-0.4104788308012535,0.4104788308012535,0.0
DA33,CND CD Central,ZCI00023,HEETS TURQSEL MNT S50 PRI 20 SLI,0.3958449760765551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001177766125800118,0.001177766125800118,0.001177766125800118,0.001177766125800118,0.001177766125800118,0.001177766125800118,0.001177766125800118,0.008244362880600827,0.3876006131959543,0.0003968559771717789,97567.83%,592.17%,-0.38720375721878253,0.38720375721878253,0.0
DA33,CND CD Central,ZCI00024,HEETS YELLOWSE S50 PRI 20 SLI,0.2865444976076555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001177769173810001,0.001177769173810001,0.001177769173810001,0.001177769173810001,0.001177769173810001,0.001177769173810001,0.001177769173810001,0.008244384216670009,0.2783001133909855,0.0007046954858214304,39392.25%,394.27%,-0.27759541790516407,0.27759541790516407,0.0
