SKU,Plant,Stock_on_Floor,Reorder_Point_Hl,%Variance_vs_ROP,Planned_Loads_7days,Demand_7days,Stock_On_floor_7Days,%Predicted_Var_vs ROP 7days,Production,National Average,ROP Hl at Plant,UID,Site_Code,HL Above/Below_y,ATD,MACOwoVLC,1HL_TO_Pal,plant_site,Cost,TripCost_perPallet24,UID obs,UID oos,oos vol,final oos vol,actual MACO,OOS %,OOS MACO
ZL000042,DA35,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA35_ZL000042,DA45,0.009945468731686053,0.0099453808031683,0.0,0.1322751322751323,DA45_DA35,1.230499979832588,0.0512708324930245,DA45_ZL000042,DA35_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZL000042,DA46,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA46_ZL000042,DA38,0.32494529338288014,0.32494529338288014,0.0,0.1322751322751323,DA38_DA46,1.0,0.041666666666666664,DA38_ZL000042,DA46_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZL000042,DA46,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA46_ZL000042,DA44,0.009945468731686053,0.0099453808031683,0.0,0.1322751322751323,DA44_DA46,1.0,0.041666666666666664,DA44_ZL000042,DA46_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZL000042,DA46,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA46_ZL000042,DA45,0.009945468731686053,0.0099453808031683,0.0,0.1322751322751323,DA45_DA46,1.230499979832588,0.0512708324930245,DA45_ZL000042,DA46_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZL000042,DA36,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA36_ZL000042,DA38,0.32494529338288014,0.32494529338288014,0.0,0.1322751322751323,DA38_DA36,0.8754641973849986,0.03647767489104161,DA38_ZL000042,DA36_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZL000042,DA36,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA36_ZL000042,DA44,0.009945468731686053,0.0099453808031683,0.0,0.1322751322751323,DA44_DA36,1.133414924166462,0.047225621840269245,DA44_ZL000042,DA36_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZL000042,DA36,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA36_ZL000042,DA45,0.009945468731686053,0.0099453808031683,0.0,0.1322751322751323,DA45_DA36,1.122125669682195,0.046755236236758126,DA45_ZL000042,DA36_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZL000042,DA37,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA37_ZL000042,DA38,0.32494529338288014,0.32494529338288014,0.0,0.1322751322751323,DA38_DA37,0.8867529241820639,0.036948038507586,DA38_ZL000042,DA37_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZL000042,DA37,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA37_ZL000042,DA44,0.009945468731686053,0.0099453808031683,0.0,0.1322751322751323,DA44_DA37,1.144703650963527,0.04769598545681363,DA44_ZL000042,DA37_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZL000042,DA37,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA37_ZL000042,DA45,0.009945468731686053,0.0099453808031683,0.0,0.1322751322751323,DA45_DA37,1.0,0.041666666666666664,DA45_ZL000042,DA37_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZL000042,DA40,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA40_ZL000042,DA38,0.32494529338288014,0.32494529338288014,0.0,0.1322751322751323,DA38_DA40,0.9758348008871847,0.04065978337029936,DA38_ZL000042,DA40_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZL000042,DA40,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA40_ZL000042,DA44,0.009945468731686053,0.0099453808031683,0.0,0.1322751322751323,DA44_DA40,1.233785527668648,0.051407730319527,DA44_ZL000042,DA40_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZL000042,DA40,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,493.5165208648041,0.03000000000000001,DA40_ZL000042,DA45,0.009945468731686053,0.0099453808031683,0.0,0.1322751322751323,DA45_DA40,1.0,0.041666666666666664,DA45_ZL000042,DA40_ZL000042,0.0,0.0,53.89024390243902,0.0,0.0
ZPF00025,DA39,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,4851.848479906006,0.2502970838633477,DA39_ZPF00025,DA36,2.592056285666473,2.5920562608483624,0.0,0.08050965834116289,DA36_DA39,1.133414924166462,0.047225621840269245,DA36_ZPF00025,DA39_ZPF00025,0.0,0.0,26.41688443670151,0.0,0.0
ZPF00025,DA42,0.0,0.0050546191968317,-100.0,0.0,0.0,0.0,-100.0,0.0,4851.848479906006,0.2502970838633477,DA42_ZPF00025,DA36,2.592056285666473,2.5920562608483624,0.0,0.08050965834116289,DA36_DA42,1.162766299832193,0.048448595826341374,DA36_ZPF00025,DA42_ZPF00025,0.0,0.0,26.41688443670151,0.0,0.0
